,Unit,Time
79371,GHO935,10/1/2024 12:00:00 AM
79372,GHO935,10/1/2024 12:59:18 AM
79373,GHO935,10/1/2024 2:24:16 AM
79374,GHO935,10/1/2024 3:49:13 AM
79375,GHO935,10/1/2024 5:14:10 AM
79376,GHO935,10/1/2024 6:29:47 AM
79377,GHO935,10/1/2024 6:35:53 AM
79378,GHO935,10/1/2024 6:37:23 AM
79379,GHO935,10/1/2024 6:39:22 AM
79380,GHO935,10/1/2024 6:39:22 AM
79381,GHO935,10/1/2024 6:40:27 AM
79382,GHO935,10/1/2024 6:42:08 AM
79383,GHO935,10/1/2024 6:43:32 AM
79384,GHO935,10/1/2024 6:43:32 AM
79385,GHO935,10/1/2024 6:44:29 AM
79386,GHO935,10/1/2024 6:44:29 AM
79387,GHO935,10/1/2024 6:46:28 AM
79388,GHO935,10/1/2024 6:46:28 AM
79389,GHO935,10/1/2024 6:48:15 AM
79390,GHO935,10/1/2024 6:48:35 AM
79391,GHO935,10/1/2024 6:49:10 AM
79392,GHO935,10/1/2024 6:49:51 AM
79393,GHO935,10/1/2024 6:50:56 AM
79394,GHO935,10/1/2024 6:51:46 AM
79395,GHO935,10/1/2024 6:52:30 AM
79396,GHO935,10/1/2024 6:53:00 AM
79397,GHO935,10/1/2024 6:54:09 AM
79398,GHO935,10/1/2024 6:54:29 AM
79399,GHO935,10/1/2024 6:54:57 AM
79400,GHO935,10/1/2024 6:55:18 AM
79401,GHO935,10/1/2024 6:58:18 AM
79402,GHO935,10/1/2024 7:00:17 AM
79403,GHO935,10/1/2024 7:02:16 AM
79404,GHO935,10/1/2024 7:02:16 AM
79405,GHO935,10/1/2024 7:04:14 AM
79406,GHO935,10/1/2024 7:06:13 AM
79407,GHO935,10/1/2024 7:08:06 AM
79408,GHO935,10/1/2024 7:10:04 AM
79409,GHO935,10/1/2024 7:10:07 AM
79410,GHO935,10/1/2024 7:10:24 AM
79411,GHO935,10/1/2024 7:11:15 AM
79412,GHO935,10/1/2024 7:12:23 AM
79413,GHO935,10/1/2024 7:14:21 AM
79414,GHO935,10/1/2024 7:16:20 AM
79415,GHO935,10/1/2024 7:17:58 AM
79416,GHO935,10/1/2024 7:17:58 AM
79417,GHO935,10/1/2024 7:19:56 AM
79418,GHO935,10/1/2024 7:19:56 AM
79419,GHO935,10/1/2024 7:21:16 AM
79420,GHO935,10/1/2024 7:21:40 AM
79421,GHO935,10/1/2024 7:21:52 AM
79422,GHO935,10/1/2024 7:23:03 AM
79423,GHO935,10/1/2024 7:23:24 AM
79424,GHO935,10/1/2024 7:24:04 AM
79425,GHO935,10/1/2024 7:25:29 AM
79426,GHO935,10/1/2024 7:26:11 AM
79427,GHO935,10/1/2024 7:27:11 AM
79428,GHO935,10/1/2024 7:27:31 AM
79429,GHO935,10/1/2024 7:29:13 AM
79430,GHO935,10/1/2024 7:29:32 AM
79431,GHO935,10/1/2024 7:31:30 AM
79432,GHO935,10/1/2024 7:31:49 AM
79433,GHO935,10/1/2024 7:32:01 AM
79434,GHO935,10/1/2024 7:32:08 AM
79435,GHO935,10/1/2024 7:32:21 AM
79436,GHO935,10/1/2024 7:33:10 AM
79437,GHO935,10/1/2024 7:34:00 AM
79438,GHO935,10/1/2024 7:35:00 AM
79439,GHO935,10/1/2024 7:35:48 AM
79440,GHO935,10/1/2024 7:37:47 AM
79441,GHO935,10/1/2024 7:37:50 AM
79442,GHO935,10/1/2024 7:38:12 AM
79443,GHO935,10/1/2024 7:38:27 AM
79444,GHO935,10/1/2024 7:39:46 AM
79445,GHO935,10/1/2024 7:39:52 AM
79446,GHO935,10/1/2024 7:39:57 AM
79447,GHO935,10/1/2024 7:40:13 AM
79448,GHO935,10/1/2024 7:40:27 AM
79449,GHO935,10/1/2024 7:40:47 AM
79450,GHO935,10/1/2024 7:40:54 AM
79451,GHO935,10/1/2024 7:42:14 AM
79452,GHO935,10/1/2024 7:43:07 AM
79453,GHO935,10/1/2024 7:45:03 AM
79454,GHO935,10/1/2024 7:46:20 AM
79455,GHO935,10/1/2024 7:46:21 AM
79456,GHO935,10/1/2024 7:46:33 AM
79457,GHO935,10/1/2024 7:46:46 AM
79458,GHO935,10/1/2024 7:47:53 AM
79459,GHO935,10/1/2024 7:48:37 AM
79460,GHO935,10/1/2024 7:49:50 AM
79461,GHO935,10/1/2024 7:51:49 AM
79462,GHO935,10/1/2024 7:53:13 AM
79463,GHO935,10/1/2024 7:54:22 AM
79464,GHO935,10/1/2024 7:56:20 AM
79465,GHO935,10/1/2024 7:57:41 AM
