,Unit,Time
89785,GHP351,10/1/2024 12:00:00 AM
89786,GHP351,10/1/2024 2:11:03 AM
89787,GHP351,10/1/2024 6:36:05 AM
89788,GHP351,10/1/2024 11:01:12 AM
89789,GHP351,10/1/2024 3:26:46 PM
89790,GHP351,10/1/2024 7:52:02 PM
89791,GHP351,10/2/2024 12:16:57 AM
89792,GHP351,10/2/2024 4:41:52 AM
89793,GHP351,10/2/2024 9:06:56 AM
89794,GHP351,10/2/2024 1:32:19 PM
89795,GHP351,10/2/2024 5:57:29 PM
89796,GHP351,10/2/2024 10:22:24 PM
89797,GHP351,10/3/2024 2:47:28 AM
89798,GHP351,10/3/2024 7:12:29 AM
89799,GHP351,10/3/2024 11:37:49 AM
89800,GHP351,10/3/2024 4:03:32 PM
89801,GHP351,10/3/2024 8:28:44 PM
89802,GHP351,10/4/2024 12:53:34 AM
89803,GHP351,10/4/2024 5:18:29 AM
89804,GHP351,10/4/2024 9:43:33 AM
89805,GHP351,10/4/2024 2:08:53 PM
89806,GHP351,10/4/2024 6:34:16 PM
89807,GHP351,10/4/2024 10:59:07 PM
89808,GHP351,10/5/2024 3:24:02 AM
89809,GHP351,10/5/2024 7:49:07 AM
89810,GHP351,10/5/2024 12:04:53 PM
89811,GHP351,10/5/2024 4:30:16 PM
89812,GHP351,10/5/2024 8:55:08 PM
89813,GHP351,10/6/2024 1:20:01 AM
89814,GHP351,10/6/2024 5:45:03 AM
89815,GHP351,10/6/2024 10:10:08 AM
89816,GHP351,10/6/2024 2:35:22 PM
89817,GHP351,10/6/2024 7:00:30 PM
89818,GHP351,10/6/2024 11:25:32 PM
89819,GHP351,10/7/2024 3:50:30 AM
89820,GHP351,10/7/2024 8:06:24 AM
89821,GHP351,10/7/2024 12:31:50 PM
89822,GHP351,10/7/2024 4:57:18 PM
89823,GHP351,10/7/2024 9:22:13 PM
89824,GHP351,10/8/2024 1:37:54 AM
89825,GHP351,10/8/2024 6:02:51 AM
89826,GHP351,10/8/2024 10:28:02 AM
89827,GHP351,10/8/2024 2:43:51 PM
89828,GHP351,10/8/2024 7:08:57 PM
89829,GHP351,10/8/2024 11:34:02 PM
89830,GHP351,10/9/2024 3:58:59 AM
89831,GHP351,10/9/2024 8:24:12 AM
89832,GHP351,10/9/2024 12:49:40 PM
89833,GHP351,10/9/2024 5:15:04 PM
89834,GHP351,10/9/2024 9:39:54 PM
89835,GHP351,10/10/2024 2:04:50 AM
89836,GHP351,10/10/2024 6:29:59 AM
89837,GHP351,10/10/2024 10:55:04 AM
89838,GHP351,10/10/2024 3:11:22 PM
89839,GHP351,10/10/2024 7:36:56 PM
89840,GHP351,10/11/2024 12:01:43 AM
89841,GHP351,10/11/2024 4:26:44 AM
89842,GHP351,10/11/2024 8:51:40 AM
89843,GHP351,10/11/2024 1:17:10 PM
89844,GHP351,10/11/2024 5:42:51 PM
89845,GHP351,10/11/2024 10:07:50 PM
89846,GHP351,10/12/2024 2:32:45 AM
89847,GHP351,10/12/2024 6:57:49 AM
89848,GHP351,10/12/2024 11:13:23 AM
89849,GHP351,10/12/2024 3:38:52 PM
89850,GHP351,10/12/2024 8:04:11 PM
89851,GHP351,10/13/2024 12:28:45 AM
89852,GHP351,10/13/2024 4:53:38 AM
89853,GHP351,10/13/2024 9:18:44 AM
89854,GHP351,10/13/2024 1:44:15 PM
89855,GHP351,10/13/2024 6:09:44 PM
89856,GHP351,10/13/2024 10:34:37 PM
89857,GHP351,10/14/2024 2:59:29 AM
89858,GHP351,10/14/2024 7:24:23 AM
89859,GHP351,10/14/2024 11:49:39 AM
89860,GHP351,10/14/2024 4:15:24 PM
89861,GHP351,10/14/2024 8:40:20 PM
89862,GHP351,10/15/2024 1:05:12 AM
89863,GHP351,10/15/2024 5:30:09 AM
89864,GHP351,10/15/2024 9:55:19 AM
89865,GHP351,10/15/2024 2:20:56 PM
89866,GHP351,10/15/2024 6:46:11 PM
89867,GHP351,10/15/2024 11:11:02 PM
89868,GHP351,10/16/2024 3:35:59 AM
89869,GHP351,10/16/2024 8:01:07 AM
89870,GHP351,10/16/2024 12:26:29 PM
89871,GHP351,10/16/2024 4:52:08 PM
89872,GHP351,10/16/2024 9:17:00 PM
89873,GHP351,10/17/2024 1:41:54 AM
89874,GHP351,10/17/2024 6:06:58 AM
89875,GHP351,10/17/2024 10:32:01 AM
89876,GHP351,10/17/2024 2:57:35 PM
89877,GHP351,10/17/2024 7:22:49 PM
89878,GHP351,10/17/2024 11:47:39 PM
89879,GHP351,10/18/2024 4:12:33 AM
89880,GHP351,10/18/2024 8:37:33 AM
89881,GHP351,10/18/2024 1:03:13 PM
89882,GHP351,10/18/2024 5:19:22 PM
89883,GHP351,10/18/2024 9:44:26 PM
89884,GHP351,10/19/2024 2:09:10 AM
89885,GHP351,10/19/2024 6:34:11 AM
89886,GHP351,10/19/2024 10:59:25 AM
89887,GHP351,10/19/2024 3:25:11 PM
89888,GHP351,10/19/2024 7:50:27 PM
89889,GHP351,10/20/2024 12:15:06 AM
89890,GHP351,10/20/2024 4:40:01 AM
89891,GHP351,10/20/2024 9:05:09 AM
89892,GHP351,10/20/2024 1:30:44 PM
89893,GHP351,10/20/2024 5:56:05 PM
89894,GHP351,10/20/2024 10:20:53 PM
89895,GHP351,10/21/2024 2:45:43 AM
89896,GHP351,10/21/2024 7:10:40 AM
89897,GHP351,10/21/2024 11:36:04 AM
89898,GHP351,10/21/2024 4:01:33 PM
89899,GHP351,10/21/2024 8:26:37 PM
89900,GHP351,10/22/2024 12:41:53 AM
89901,GHP351,10/22/2024 5:06:50 AM
89902,GHP351,10/22/2024 9:22:50 AM
89903,GHP351,10/22/2024 1:48:23 PM
89904,GHP351,10/22/2024 10:38:40 PM
89905,GHP351,10/23/2024 3:03:29 AM
89906,GHP351,10/23/2024 7:28:28 AM
89907,GHP351,10/23/2024 11:53:44 AM
89908,GHP351,10/23/2024 4:19:28 PM
89909,GHP351,10/23/2024 8:44:21 PM
89910,GHP351,10/24/2024 1:09:14 AM
89911,GHP351,10/24/2024 5:34:12 AM
89912,GHP351,10/24/2024 9:59:22 AM
89913,GHP351,10/24/2024 2:25:01 PM
89914,GHP351,10/24/2024 6:50:21 PM
89915,GHP351,10/24/2024 11:15:10 PM
89916,GHP351,10/25/2024 3:40:00 AM
89917,GHP351,10/25/2024 8:04:57 AM
89918,GHP351,10/25/2024 12:30:27 PM
89919,GHP351,10/25/2024 4:55:55 PM
89920,GHP351,10/25/2024 9:21:02 PM
89921,GHP351,10/26/2024 1:45:47 AM
89922,GHP351,10/26/2024 6:10:52 AM
89923,GHP351,10/26/2024 10:36:01 AM
89924,GHP351,10/26/2024 3:01:22 PM
89925,GHP351,10/26/2024 7:26:30 PM
89926,GHP351,10/26/2024 11:41:52 PM
89927,GHP351,10/27/2024 4:06:52 AM
89928,GHP351,10/27/2024 8:32:05 AM
89929,GHP351,10/27/2024 12:57:29 PM
89930,GHP351,10/27/2024 5:22:59 PM
89931,GHP351,10/27/2024 9:47:50 PM
89932,GHP351,10/28/2024 2:12:44 AM
89933,GHP351,10/28/2024 6:37:42 AM
89934,GHP351,10/28/2024 8:48:41 AM
89935,GHP351,10/28/2024 8:48:43 AM
89936,GHP351,10/28/2024 8:48:52 AM
89937,GHP351,10/28/2024 8:49:05 AM
89938,GHP351,10/28/2024 8:49:21 AM
89939,GHP351,10/28/2024 8:54:21 AM
89940,GHP351,10/28/2024 9:31:42 AM
89941,GHP351,10/28/2024 9:32:00 AM
89942,GHP351,10/28/2024 9:32:06 AM
89943,GHP351,10/28/2024 9:47:04 AM
89944,GHP351,10/28/2024 9:59:29 AM
89945,GHP351,10/28/2024 10:04:31 AM
89946,GHP351,10/28/2024 10:34:33 AM
89947,GHP351,10/28/2024 10:49:31 AM
89948,GHP351,10/28/2024 12:15:48 PM
89949,GHP351,10/28/2024 12:19:34 PM
89950,GHP351,10/28/2024 12:20:13 PM
89951,GHP351,10/28/2024 12:20:33 PM
89952,GHP351,10/28/2024 12:20:46 PM
89953,GHP351,10/28/2024 12:20:48 PM
89954,GHP351,10/28/2024 12:21:50 PM
89955,GHP351,10/28/2024 12:22:54 PM
89956,GHP351,10/28/2024 12:24:54 PM
89957,GHP351,10/28/2024 12:25:52 PM
89958,GHP351,10/28/2024 12:25:59 PM
89959,GHP351,10/28/2024 12:26:11 PM
89960,GHP351,10/28/2024 12:27:12 PM
89961,GHP351,10/28/2024 12:27:44 PM
89962,GHP351,10/28/2024 12:27:56 PM
89963,GHP351,10/28/2024 12:30:25 PM
89964,GHP351,10/28/2024 12:31:03 PM
89965,GHP351,10/28/2024 12:46:02 PM
89966,GHP351,10/28/2024 1:04:42 PM
89967,GHP351,10/28/2024 1:06:29 PM
89968,GHP351,10/28/2024 1:21:27 PM
89969,GHP351,10/28/2024 5:08:41 PM
89970,GHP351,10/28/2024 5:10:24 PM
89971,GHP351,10/28/2024 5:11:31 PM
89972,GHP351,10/28/2024 5:12:12 PM
89973,GHP351,10/28/2024 5:13:39 PM
89974,GHP351,10/28/2024 5:13:39 PM
89975,GHP351,10/28/2024 5:14:44 PM
89976,GHP351,10/28/2024 5:14:44 PM
89977,GHP351,10/28/2024 5:16:26 PM
89978,GHP351,10/28/2024 5:16:26 PM
89979,GHP351,10/28/2024 5:17:42 PM
89980,GHP351,10/28/2024 5:17:42 PM
89981,GHP351,10/28/2024 5:18:12 PM
89982,GHP351,10/28/2024 5:18:12 PM
89983,GHP351,10/28/2024 5:18:17 PM
89984,GHP351,10/28/2024 5:18:17 PM
89985,GHP351,10/28/2024 5:22:30 PM
89986,GHP351,10/28/2024 5:22:30 PM
89987,GHP351,10/28/2024 5:24:45 PM
89988,GHP351,10/28/2024 5:24:45 PM
89989,GHP351,10/28/2024 5:25:09 PM
89990,GHP351,10/28/2024 5:28:30 PM
89991,GHP351,10/28/2024 5:28:52 PM
89992,GHP351,10/28/2024 5:30:19 PM
89993,GHP351,10/28/2024 5:31:09 PM
89994,GHP351,10/28/2024 5:31:12 PM
89995,GHP351,10/28/2024 5:31:59 PM
89996,GHP351,10/28/2024 5:35:16 PM
89997,GHP351,10/28/2024 5:50:14 PM
89998,GHP351,10/28/2024 10:00:00 PM
89999,GHP351,10/29/2024 2:15:55 AM
90000,GHP351,10/29/2024 6:40:58 AM
90001,GHP351,10/29/2024 10:56:54 AM
90002,GHP351,10/29/2024 3:22:09 PM
90003,GHP351,10/29/2024 3:22:09 PM
