,Unit,Time
111557,IAG59E,10/1/2024 12:00:00 AM
111558,IAG59E,10/1/2024 6:42:37 AM
111559,IAG59E,10/1/2024 6:44:49 AM
111560,IAG59E,10/1/2024 6:45:33 AM
111561,IAG59E,10/1/2024 6:46:57 AM
111562,IAG59E,10/1/2024 6:48:01 AM
111563,IAG59E,10/1/2024 6:48:26 AM
111564,IAG59E,10/1/2024 6:49:10 AM
111565,IAG59E,10/1/2024 6:50:12 AM
111566,IAG59E,10/1/2024 6:51:20 AM
111567,IAG59E,10/1/2024 6:51:28 AM
111568,IAG59E,10/1/2024 6:51:39 AM
111569,IAG59E,10/1/2024 6:52:20 AM
111570,IAG59E,10/1/2024 6:52:39 AM
111571,IAG59E,10/1/2024 6:52:47 AM
111572,IAG59E,10/1/2024 6:52:58 AM
111573,IAG59E,10/1/2024 6:53:16 AM
111574,IAG59E,10/1/2024 6:53:40 AM
111575,IAG59E,10/1/2024 6:55:46 AM
111576,IAG59E,10/1/2024 6:56:46 AM
111577,IAG59E,10/1/2024 6:58:46 AM
111578,IAG59E,10/1/2024 6:59:01 AM
111579,IAG59E,10/1/2024 7:01:52 AM
111580,IAG59E,10/1/2024 7:02:18 AM
111581,IAG59E,10/1/2024 7:03:11 AM
111582,IAG59E,10/1/2024 7:03:39 AM
111583,IAG59E,10/1/2024 7:04:12 AM
111584,IAG59E,10/1/2024 7:05:02 AM
111585,IAG59E,10/1/2024 7:05:37 AM
111586,IAG59E,10/1/2024 7:06:00 AM
111587,IAG59E,10/1/2024 7:06:21 AM
111588,IAG59E,10/1/2024 7:08:14 AM
111589,IAG59E,10/1/2024 7:09:11 AM
111590,IAG59E,10/1/2024 7:10:54 AM
111591,IAG59E,10/1/2024 7:11:20 AM
111592,IAG59E,10/1/2024 7:27:39 AM
111593,IAG59E,10/1/2024 7:29:33 AM
111594,IAG59E,10/1/2024 7:30:31 AM
111595,IAG59E,10/1/2024 7:30:42 AM
111596,IAG59E,10/1/2024 7:30:47 AM
111597,IAG59E,10/1/2024 7:31:21 AM
111598,IAG59E,10/1/2024 7:31:56 AM
111599,IAG59E,10/1/2024 7:38:26 AM
111600,IAG59E,10/1/2024 7:39:11 AM
111601,IAG59E,10/1/2024 7:41:16 AM
111602,IAG59E,10/1/2024 7:41:45 AM
111603,IAG59E,10/1/2024 7:42:19 AM
111604,IAG59E,10/1/2024 7:42:28 AM
111605,IAG59E,10/1/2024 7:42:41 AM
111606,IAG59E,10/1/2024 7:43:22 AM
111607,IAG59E,10/1/2024 7:43:35 AM
111608,IAG59E,10/1/2024 7:43:51 AM
111609,IAG59E,10/1/2024 7:43:54 AM
111610,IAG59E,10/1/2024 7:44:03 AM
111611,IAG59E,10/1/2024 7:44:08 AM
111612,IAG59E,10/1/2024 7:44:59 AM
111613,IAG59E,10/1/2024 7:44:59 AM
111614,IAG59E,10/1/2024 7:45:09 AM
111615,IAG59E,10/1/2024 7:45:23 AM
111616,IAG59E,10/1/2024 7:45:23 AM
111617,IAG59E,10/1/2024 7:45:31 AM
111618,IAG59E,10/1/2024 7:45:31 AM
111619,IAG59E,10/1/2024 7:47:35 AM
111620,IAG59E,10/1/2024 7:47:35 AM
111621,IAG59E,10/1/2024 7:47:35 AM
111622,IAG59E,10/1/2024 8:53:49 AM
111623,IAG59E,10/1/2024 8:53:49 AM
111624,IAG59E,10/1/2024 8:54:37 AM
111625,IAG59E,10/1/2024 8:54:37 AM
111626,IAG59E,10/1/2024 8:54:37 AM
111627,IAG59E,10/1/2024 8:54:55 AM
111628,IAG59E,10/1/2024 8:55:25 AM
111629,IAG59E,10/1/2024 8:55:25 AM
111630,IAG59E,10/1/2024 8:55:31 AM
111631,IAG59E,10/1/2024 8:55:34 AM
111632,IAG59E,10/1/2024 8:55:34 AM
111633,IAG59E,10/1/2024 8:55:43 AM
111634,IAG59E,10/1/2024 8:55:53 AM
111635,IAG59E,10/1/2024 8:55:53 AM
111636,IAG59E,10/1/2024 8:55:58 AM
111637,IAG59E,10/1/2024 8:56:03 AM
111638,IAG59E,10/1/2024 8:58:03 AM
111639,IAG59E,10/1/2024 8:58:03 AM
111640,IAG59E,10/1/2024 8:58:08 AM
111641,IAG59E,10/1/2024 8:58:08 AM
111642,IAG59E,10/1/2024 8:59:03 AM
111643,IAG59E,10/1/2024 8:59:03 AM
111644,IAG59E,10/1/2024 9:15:38 AM
111645,IAG59E,10/1/2024 9:15:38 AM
111646,IAG59E,10/1/2024 9:16:42 AM
111647,IAG59E,10/1/2024 9:16:42 AM
111648,IAG59E,10/1/2024 9:16:52 AM
111649,IAG59E,10/1/2024 9:18:21 AM
111650,IAG59E,10/1/2024 9:18:21 AM
111651,IAG59E,10/1/2024 9:18:21 AM
111652,IAG59E,10/1/2024 9:31:33 AM
111653,IAG59E,10/1/2024 9:31:33 AM
111654,IAG59E,10/1/2024 9:32:19 AM
111655,IAG59E,10/1/2024 9:32:19 AM
111656,IAG59E,10/1/2024 9:32:19 AM
111657,IAG59E,10/1/2024 9:32:34 AM
111658,IAG59E,10/1/2024 9:32:34 AM
111659,IAG59E,10/1/2024 9:33:03 AM
111660,IAG59E,10/1/2024 9:33:10 AM
111661,IAG59E,10/1/2024 9:33:10 AM
111662,IAG59E,10/1/2024 9:33:16 AM
111663,IAG59E,10/1/2024 9:33:16 AM
111664,IAG59E,10/1/2024 9:33:21 AM
111665,IAG59E,10/1/2024 9:33:36 AM
111666,IAG59E,10/1/2024 9:33:36 AM
111667,IAG59E,10/1/2024 9:33:47 AM
111668,IAG59E,10/1/2024 9:34:03 AM
111669,IAG59E,10/1/2024 9:34:17 AM
111670,IAG59E,10/1/2024 9:34:29 AM
111671,IAG59E,10/1/2024 9:36:09 AM
111672,IAG59E,10/1/2024 9:36:11 AM
111673,IAG59E,10/1/2024 9:36:58 AM
111674,IAG59E,10/1/2024 9:37:31 AM
111675,IAG59E,10/1/2024 9:39:46 AM
111676,IAG59E,10/1/2024 9:39:46 AM
111677,IAG59E,10/1/2024 9:41:57 AM
111678,IAG59E,10/1/2024 9:43:38 AM
111679,IAG59E,10/1/2024 9:44:29 AM
111680,IAG59E,10/1/2024 9:46:29 AM
111681,IAG59E,10/1/2024 9:46:59 AM
111682,IAG59E,10/1/2024 9:48:29 AM
111683,IAG59E,10/1/2024 9:49:58 AM
111684,IAG59E,10/1/2024 9:50:49 AM
111685,IAG59E,10/1/2024 9:52:30 AM
111686,IAG59E,10/1/2024 9:53:39 AM
111687,IAG59E,10/1/2024 9:55:29 AM
111688,IAG59E,10/1/2024 9:55:29 AM
111689,IAG59E,10/1/2024 9:56:06 AM
111690,IAG59E,10/1/2024 9:56:06 AM
111691,IAG59E,10/1/2024 10:00:37 AM
111692,IAG59E,10/1/2024 10:00:37 AM
111693,IAG59E,10/1/2024 10:01:20 AM
111694,IAG59E,10/1/2024 10:01:20 AM
111695,IAG59E,10/1/2024 10:04:46 AM
111696,IAG59E,10/1/2024 10:05:23 AM
111697,IAG59E,10/1/2024 10:12:35 AM
111698,IAG59E,10/1/2024 11:44:22 AM
111699,IAG59E,10/1/2024 11:44:41 AM
111700,IAG59E,10/1/2024 11:45:55 AM
111701,IAG59E,10/1/2024 11:47:47 AM
111702,IAG59E,10/1/2024 12:04:40 PM
111703,IAG59E,10/1/2024 12:05:10 PM
111704,IAG59E,10/1/2024 12:05:14 PM
111705,IAG59E,10/1/2024 12:05:42 PM
111706,IAG59E,10/1/2024 12:21:03 PM
111707,IAG59E,10/1/2024 12:21:52 PM
111708,IAG59E,10/1/2024 12:21:54 PM
111709,IAG59E,10/1/2024 12:23:54 PM
111710,IAG59E,10/1/2024 12:24:56 PM
111711,IAG59E,10/1/2024 12:25:53 PM
111712,IAG59E,10/1/2024 12:26:04 PM
111713,IAG59E,10/1/2024 12:26:10 PM
111714,IAG59E,10/1/2024 12:26:42 PM
111715,IAG59E,10/1/2024 12:26:48 PM
111716,IAG59E,10/1/2024 12:26:59 PM
111717,IAG59E,10/1/2024 12:27:10 PM
111718,IAG59E,10/1/2024 12:28:44 PM
111719,IAG59E,10/1/2024 12:28:52 PM
111720,IAG59E,10/1/2024 12:29:48 PM
111721,IAG59E,10/1/2024 12:30:53 PM
111722,IAG59E,10/1/2024 12:30:59 PM
111723,IAG59E,10/1/2024 12:32:39 PM
111724,IAG59E,10/1/2024 12:34:29 PM
111725,IAG59E,10/1/2024 12:34:39 PM
111726,IAG59E,10/1/2024 12:35:22 PM
111727,IAG59E,10/1/2024 12:36:02 PM
111728,IAG59E,10/1/2024 12:36:33 PM
111729,IAG59E,10/1/2024 12:36:49 PM
111730,IAG59E,10/1/2024 12:37:31 PM
111731,IAG59E,10/1/2024 12:38:00 PM
111732,IAG59E,10/1/2024 12:38:39 PM
111733,IAG59E,10/1/2024 12:38:56 PM
111734,IAG59E,10/1/2024 12:39:53 PM
111735,IAG59E,10/1/2024 12:40:50 PM
111736,IAG59E,10/1/2024 12:42:41 PM
111737,IAG59E,10/1/2024 12:43:53 PM
111738,IAG59E,10/1/2024 12:45:58 PM
111739,IAG59E,10/1/2024 12:47:52 PM
111740,IAG59E,10/1/2024 12:48:05 PM
111741,IAG59E,10/1/2024 12:48:45 PM
111742,IAG59E,10/1/2024 1:06:10 PM
111743,IAG59E,10/1/2024 1:08:04 PM
111744,IAG59E,10/1/2024 1:08:34 PM
111745,IAG59E,10/1/2024 1:09:46 PM
111746,IAG59E,10/1/2024 1:10:05 PM
111747,IAG59E,10/1/2024 1:13:03 PM
111748,IAG59E,10/1/2024 1:13:45 PM
111749,IAG59E,10/1/2024 1:14:16 PM
111750,IAG59E,10/1/2024 1:15:07 PM
111751,IAG59E,10/1/2024 1:16:59 PM
111752,IAG59E,10/1/2024 1:17:18 PM
111753,IAG59E,10/1/2024 1:19:18 PM
111754,IAG59E,10/1/2024 1:19:43 PM
111755,IAG59E,10/1/2024 1:20:12 PM
111756,IAG59E,10/1/2024 1:23:29 PM
111757,IAG59E,10/1/2024 1:25:29 PM
111758,IAG59E,10/1/2024 1:26:57 PM
111759,IAG59E,10/1/2024 1:28:24 PM
111760,IAG59E,10/1/2024 1:28:35 PM
111761,IAG59E,10/1/2024 1:30:23 PM
111762,IAG59E,10/1/2024 1:31:29 PM
111763,IAG59E,10/1/2024 1:34:04 PM
111764,IAG59E,10/1/2024 1:42:43 PM
111765,IAG59E,10/1/2024 1:42:56 PM
111766,IAG59E,10/1/2024 1:43:29 PM
111767,IAG59E,10/1/2024 1:44:01 PM
111768,IAG59E,10/1/2024 1:44:32 PM
111769,IAG59E,10/1/2024 1:44:56 PM
111770,IAG59E,10/1/2024 1:46:13 PM
111771,IAG59E,10/1/2024 2:08:37 PM
111772,IAG59E,10/1/2024 2:08:53 PM
111773,IAG59E,10/1/2024 2:10:02 PM
111774,IAG59E,10/1/2024 2:10:35 PM
111775,IAG59E,10/1/2024 2:11:41 PM
111776,IAG59E,10/1/2024 2:11:52 PM
111777,IAG59E,10/1/2024 2:13:50 PM
111778,IAG59E,10/1/2024 2:14:19 PM
111779,IAG59E,10/1/2024 2:14:32 PM
111780,IAG59E,10/1/2024 2:14:49 PM
111781,IAG59E,10/1/2024 2:15:04 PM
111782,IAG59E,10/1/2024 2:15:58 PM
111783,IAG59E,10/1/2024 2:15:58 PM
111784,IAG59E,10/1/2024 2:16:21 PM
111785,IAG59E,10/1/2024 2:16:21 PM
111786,IAG59E,10/1/2024 2:16:33 PM
111787,IAG59E,10/1/2024 2:16:55 PM
111788,IAG59E,10/1/2024 2:17:49 PM
111789,IAG59E,10/1/2024 2:17:49 PM
111790,IAG59E,10/1/2024 2:18:36 PM
111791,IAG59E,10/1/2024 2:18:36 PM
111792,IAG59E,10/1/2024 2:23:32 PM
111793,IAG59E,10/1/2024 2:23:32 PM
111794,IAG59E,10/1/2024 2:24:43 PM
111795,IAG59E,10/1/2024 2:24:43 PM
111796,IAG59E,10/1/2024 2:24:43 PM
111797,IAG59E,10/1/2024 2:24:55 PM
111798,IAG59E,10/1/2024 2:25:25 PM
111799,IAG59E,10/1/2024 2:25:25 PM
111800,IAG59E,10/1/2024 2:29:11 PM
111801,IAG59E,10/1/2024 2:29:11 PM
111802,IAG59E,10/1/2024 2:30:49 PM
111803,IAG59E,10/1/2024 2:30:49 PM
111804,IAG59E,10/1/2024 2:31:51 PM
111805,IAG59E,10/1/2024 2:34:19 PM
111806,IAG59E,10/1/2024 2:34:50 PM
111807,IAG59E,10/1/2024 2:36:21 PM
111808,IAG59E,10/1/2024 2:36:38 PM
111809,IAG59E,10/1/2024 2:36:52 PM
111810,IAG59E,10/1/2024 2:37:19 PM
111811,IAG59E,10/1/2024 2:37:39 PM
111812,IAG59E,10/1/2024 2:37:58 PM
111813,IAG59E,10/1/2024 2:38:39 PM
111814,IAG59E,10/1/2024 2:39:01 PM
111815,IAG59E,10/1/2024 2:39:16 PM
111816,IAG59E,10/1/2024 2:39:44 PM
111817,IAG59E,10/1/2024 2:42:54 PM
111818,IAG59E,10/1/2024 2:43:52 PM
111819,IAG59E,10/1/2024 2:44:17 PM
111820,IAG59E,10/1/2024 2:44:26 PM
111821,IAG59E,10/1/2024 2:44:31 PM
111822,IAG59E,10/1/2024 2:44:35 PM
111823,IAG59E,10/1/2024 2:44:41 PM
111824,IAG59E,10/1/2024 2:46:33 PM
111825,IAG59E,10/1/2024 2:48:17 PM
111826,IAG59E,10/1/2024 2:48:51 PM
111827,IAG59E,10/1/2024 2:50:32 PM
111828,IAG59E,10/1/2024 2:50:57 PM
111829,IAG59E,10/1/2024 2:51:49 PM
111830,IAG59E,10/1/2024 2:52:19 PM
111831,IAG59E,10/1/2024 2:52:42 PM
111832,IAG59E,10/1/2024 2:57:52 PM
111833,IAG59E,10/1/2024 2:57:59 PM
111834,IAG59E,10/1/2024 2:58:54 PM
111835,IAG59E,10/1/2024 2:59:10 PM
111836,IAG59E,10/1/2024 3:00:34 PM
111837,IAG59E,10/1/2024 3:02:11 PM
111838,IAG59E,10/1/2024 3:04:12 PM
111839,IAG59E,10/1/2024 3:04:48 PM
111840,IAG59E,10/1/2024 3:04:48 PM
111841,IAG59E,10/1/2024 3:04:58 PM
111842,IAG59E,10/1/2024 3:06:13 PM
111843,IAG59E,10/1/2024 3:10:34 PM
111844,IAG59E,10/1/2024 3:12:25 PM
111845,IAG59E,10/1/2024 3:13:29 PM
111846,IAG59E,10/1/2024 3:13:29 PM
111847,IAG59E,10/1/2024 3:22:14 PM
111848,IAG59E,10/1/2024 3:24:13 PM
111849,IAG59E,10/1/2024 3:24:13 PM
111850,IAG59E,10/1/2024 3:24:43 PM
111851,IAG59E,10/1/2024 3:32:26 PM
111852,IAG59E,10/1/2024 3:33:09 PM
111853,IAG59E,10/1/2024 3:33:44 PM
111854,IAG59E,10/1/2024 3:34:40 PM
111855,IAG59E,10/1/2024 3:35:39 PM
111856,IAG59E,10/1/2024 3:37:39 PM
111857,IAG59E,10/1/2024 3:38:16 PM
111858,IAG59E,10/1/2024 3:40:59 PM
111859,IAG59E,10/1/2024 3:43:15 PM
111860,IAG59E,10/1/2024 3:44:14 PM
111861,IAG59E,10/1/2024 3:45:00 PM
111862,IAG59E,10/1/2024 3:45:10 PM
111863,IAG59E,10/1/2024 3:45:42 PM
111864,IAG59E,10/1/2024 3:46:06 PM
111865,IAG59E,10/1/2024 3:46:41 PM
111866,IAG59E,10/1/2024 3:52:43 PM
111867,IAG59E,10/1/2024 3:53:56 PM
111868,IAG59E,10/1/2024 3:54:39 PM
111869,IAG59E,10/1/2024 3:56:39 PM
111870,IAG59E,10/1/2024 3:58:34 PM
111871,IAG59E,10/1/2024 3:59:03 PM
111872,IAG59E,10/1/2024 3:59:55 PM
111873,IAG59E,10/1/2024 4:01:39 PM
111874,IAG59E,10/1/2024 4:01:44 PM
111875,IAG59E,10/1/2024 4:02:39 PM
111876,IAG59E,10/1/2024 4:02:50 PM
111877,IAG59E,10/1/2024 4:03:12 PM
111878,IAG59E,10/1/2024 4:03:15 PM
111879,IAG59E,10/1/2024 4:03:33 PM
111880,IAG59E,10/1/2024 4:03:39 PM
111881,IAG59E,10/1/2024 4:05:25 PM
111882,IAG59E,10/1/2024 4:05:25 PM
111883,IAG59E,10/1/2024 4:05:29 PM
111884,IAG59E,10/1/2024 4:05:29 PM
111885,IAG59E,10/1/2024 4:05:48 PM
111886,IAG59E,10/1/2024 4:05:48 PM
111887,IAG59E,10/1/2024 4:06:03 PM
111888,IAG59E,10/1/2024 4:06:03 PM
111889,IAG59E,10/1/2024 4:07:32 PM
111890,IAG59E,10/1/2024 4:07:32 PM
111891,IAG59E,10/1/2024 4:07:32 PM
111892,IAG59E,10/1/2024 4:29:54 PM
111893,IAG59E,10/1/2024 4:29:54 PM
111894,IAG59E,10/1/2024 4:30:45 PM
111895,IAG59E,10/1/2024 4:30:45 PM
111896,IAG59E,10/1/2024 4:30:45 PM
111897,IAG59E,10/1/2024 4:31:02 PM
111898,IAG59E,10/1/2024 4:31:22 PM
111899,IAG59E,10/1/2024 4:31:22 PM
111900,IAG59E,10/1/2024 4:32:09 PM
111901,IAG59E,10/1/2024 4:32:09 PM
111902,IAG59E,10/1/2024 4:32:58 PM
111903,IAG59E,10/1/2024 4:34:00 PM
111904,IAG59E,10/1/2024 4:34:32 PM
111905,IAG59E,10/1/2024 4:35:53 PM
111906,IAG59E,10/1/2024 4:37:31 PM
111907,IAG59E,10/1/2024 4:38:51 PM
111908,IAG59E,10/1/2024 4:39:15 PM
111909,IAG59E,10/1/2024 4:40:46 PM
111910,IAG59E,10/1/2024 4:42:03 PM
111911,IAG59E,10/1/2024 4:42:12 PM
111912,IAG59E,10/1/2024 4:42:30 PM
111913,IAG59E,10/1/2024 4:43:26 PM
111914,IAG59E,10/1/2024 4:43:48 PM
111915,IAG59E,10/1/2024 4:44:15 PM
111916,IAG59E,10/1/2024 4:44:43 PM
111917,IAG59E,10/1/2024 4:46:13 PM
111918,IAG59E,10/1/2024 4:46:13 PM
111919,IAG59E,10/1/2024 4:46:33 PM
111920,IAG59E,10/1/2024 4:46:36 PM
111921,IAG59E,10/1/2024 4:46:36 PM
111922,IAG59E,10/1/2024 4:46:52 PM
111923,IAG59E,10/1/2024 4:47:07 PM
111924,IAG59E,10/1/2024 4:47:13 PM
111925,IAG59E,10/1/2024 4:47:19 PM
111926,IAG59E,10/1/2024 4:47:57 PM
111927,IAG59E,10/1/2024 4:48:21 PM
111928,IAG59E,10/1/2024 4:51:31 PM
111929,IAG59E,10/1/2024 5:14:38 PM
111930,IAG59E,10/1/2024 5:15:55 PM
111931,IAG59E,10/1/2024 5:16:22 PM
