,ID Unidad,Unidad,Tipo de Unidad,IMEI,
0,02I6,VCX443,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077093311880,1
4,0IFI,GJQ363,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,351628093098310,1
8,0CXV,SXJ589,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,354514101221002,1
11,0O29,SXJ819,CalAmp 2630 - 3G - LMU2631H-H000-G1000,354514101216952,1
24,N128,VCP832,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,358077093348288,1
26,03DZ,YAQ016,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,357041062612224,1
27,Q777,TEK884,CalAmp 2630 - HSPA -LMU26H3001-G1000,358077093316699,1
28,N034,VCP833,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,358077093307086,1
29,A186,ICT511,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077093347801,1
30,748U,CLZ122,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,354514102321769,1
31,0CZ4,CPF536,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,354514101190397,1
32,0VVZ,LST181,CalAmp 2630 - 3G - LMU2631H-H000-G1000,354514101223578,1
33,898K,WMV436,CalAmp 2630 - CDMA - LMU2630CV-G1000,358077093191720,1
34,R558,VCK066,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077093311575,1
35,05WS,EQK481,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077093321319,1
37,N191,VCP966,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,354514101221416,1
39,R480,SXI745,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077093380984,1
40,0Y2S,TEK927,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077093352397,1
41,09JO,WMV438,CalAmp 2630 - 3G - LMU2631H-H000-G1000,354514101228551,1
44,0Y2W,ETL118,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077093349625,1
45,0Y6P,ETL229,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077093317127,1
50,605C,VCN172,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,354514102549310,1
53,0WDD,ETL048,CalAmp 2630 - 3G - LMU2631H-H000-G1000,354514101231373,1
54,898M,WMV435,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,354514101228106,1
55,896P,EQL080,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077093381586,1
56,664T,TZO398,CalAmp 2630 - HSPA -LMU26H3001-G1000,357041061805621,1
57,09MI,EQL079,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,354514102535285,1
59,0XQM,WGM579,CalAmp 2630 - 3G - LMU2631H-H000-G1000,358077093315790,1
61,0U2L,VCS143,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,352556102330359,1
62,0U2T,CFN246,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,352556102422982,1
65,0U2P,SHO015,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,352556102424269,1
67,0U2G,SYU208,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,352556102520397,1
70,605E,TZP789,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077093386585,1
72,U785,VCX553,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077093405849,1
75,U736,TZP631,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,354514101221457,1
76,21AP,KUN995,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,357041065083969,1
78,747J,YAQ620,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,357041065212527,1
81,C876,VCO037,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,354514101221309,1
87,0JNF,TZN299,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077093396543,1
88,7320,WMW867,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077090741964,1
90,560E,KUL359,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,358077093484364,1
93,0U2H,SRL936,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,352556102304057,1
91,561L,TJV167,CalAmp 2631 - Gemalto HSPA - LMU2631H-H000-GTC01,357041065235734,1
,,,,,43
