,FIELD01,FIELD02,FIELD03,FIELD04
0,358077093191696,8957123112215166354,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101426921
1,35807709335237,8957123112215165653,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101140437
2,354514102545946,8957123112215383793,CalAmp 2620 - 3G - LMU26H201-G1000,9101191443
3,358077093345144,8957123112215165505,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101330521
4,358077093349005,8957123112215166859,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101313382
5,354514102532266,8957123112215383785,"CalAmp 2630 - HSPA -LMU26H3001-G1000

 Accum",9101330947
6,354514102533264,8957123112215383926,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,9101307192
7,358077093400584,8957123112215166966,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101198022
8,354514102533447,8957123112215164219,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101053687
9,358077093335913,8957123112215165646,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101163588
10,862369031479922,8957123112215382472,Queclink GL 300W,9101326828
11,354514102328418,8957123112215383868,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,9101164749
12,358077093312359,8957123112215166479,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101175821
13,862369031472026,8957123112215382712,Queclink GL 300W,9101367451
14,862369031489053,8957123112215380526,Queclink GL 300W,9101382471
15,354514102535236,8957123112215384031,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,9101342666
16,354514102531946,8957123112215383678,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101379661
17,354514102533629,8957123112215383454,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101338343
18,358077093351340,8957123112215167360,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101420899
19,354514102392729,8957123112215383702,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101147349
20,354514102531540,8957123112215383694,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101160741
21,354514102543396,8957123112215164292,CalAmp 2631 - Gemalto HSPA - LMU2631H-0000-G1000,9101059817
22,354514102534486,8957123112215383736,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101352250
23,354514102408624,8957123112215383710,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101330741
24,354514102545847,8957123112215164409,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101067187
25,354514102405489,8957123112215383660,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101341012
26,354514102533868,8957123112215383652,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101379650
27,862369031492677,8957123112215380567,Queclink GL 300W,9101074065
28,354514102540426,8957123112215383744,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101173958
29,354514102532118,8957123112215164276,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101055720
30,358077093310494,8957123112215166818,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101164230
31,862369031492891,8957123112215380591,Queclink GL 300W,9101342721
32,354514102371350,8957123112215382001,CalAmp 2630 - 3G - LMU2631H-H000-G1000,9101278499
33,358077093407365,8957123112215166008,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101187869
34,354514102353036,8957123112215164383,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101058531
35,354514102532704,8957123112215383389,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101388814
36,358077093310015,8957123112215166420,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101185750
37,354514102530401,8957123112215383611,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101346417
38,862369031471689,8957123112215382720,Queclink GL 300W,9101198300
39,354514102406495,8957123112215383355,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,9101296617
40,862369031489251,8957123112215382225,Queclink GL 300W,9101318042
41,354514102549930,8957123112215384130,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,9101433512
