,Unnamed: 0,IMEI,Configuration version,Firmware version,Device type,ACTION
15,15,863457051693248,231,R01A19V03,GV300W,Keep
22,22,868574042434006,103,R00A10V09,GV55W,Keep
32,32,868574042438163,103,R00A10V09,GV55W,Keep
33,33,868574042454418,103,R00A10V09,GV55W,Keep
34,34,868574042454244,103,R00A10V09,GV55W,Keep
36,36,868574042452537,103,R00A10V09,GV55W,Keep
37,37,868574042451893,103,R00A10V09,GV55W,Keep
38,38,868574042451661,103,R00A10V09,GV55W,Keep
44,44,868574042425632,103,R00A10V09,GV55W,Keep
45,45,868574042423074,103,R00A10V09,GV55W,Keep
47,47,868574042412572,103,R00A10V09,GV55W,Keep
48,48,868574042392808,103,R00A10V09,GV55W,Keep
50,50,868574042400361,103,R00A10V09,GV55W,Keep
52,52,358077093175137,"55,169",85f,LMU2630,Keep
58,58,352556102272049,"55,164",85f,LMU2630,Keep
59,59,352556102537193,"55,161",85f,LMU2630,Keep
60,60,352556102535304,"255,164",85f,LMU2630,Keep
61,61,352556102510661,"55,164",85f,LMU2630,Keep
71,71,354514101223594,"55,167",85f,LMU2630_NoPEGBehavior,Keep
72,72,351628096057784,"55,161",71a,LMU2630_NoPEGBehavior,Keep
73,73,352556102938524,"7,175",29d,LMU330 - Null PEGBehavior,Keep
77,77,358014091231083,/BasicScripts/PERU/PERU_BIN_TEMP_3810470.txt,G603.07.04KX 11:57:20 APR 26 2016,GenX 5P,Keep
79,79,358077092208152,"7,138",29b,LMU330 - Null PEGBehavior,Keep
