,IMEI,Unit Type,Unit,Unit ID
0,868574042783121,Queclink GV55W,HSR591,12PU
1,868574042794698,Queclink GV55W,Dynapac Vibrocompact,13IG
2,868574042797451,Queclink GV55W,Komatsu PC210,13IL
3,868574042789565,Queclink GV55W,Bobcat S570 2017,13IR
4,868574042789706,Queclink GV55W,Komatsu PC130,14CF
5,868574042782016,Queclink GV55W,XCS45J Vibrocomp XCM,14F5
6,868574042905401,Queclink GV55W,Bobcat S570 2020,14F7
7,868574042894209,Queclink GV55W,Bobcat E42 2014,15AJ
8,868574042889340,Queclink GV55W,Bobcat S570 2021,15AM
9,868574042894548,Queclink GV55W,HFX606,15B3
10,868574042867379,Queclink GV55W,Bobcat E42 2015,15B4
11,868574042886676,Queclink GV55W,MBT153,15OQ
12,868574042856364,Queclink GV55W,HYSTERE02-12,14MP
13,868574042862651,Queclink GV55W,TAYLOR ROJA,14MS
14,358014097917073,GenX 5P,SY036RCB39688,0NN5
15,868574042620554,Queclink GV55W,RAX277,03WX
16,868574042743000,Queclink GV55W,UCK323,0XFR
17,868574042743943,Queclink GV55W, CATERPILLAR 320D2L,0ZDL
18,868574041982633,Queclink GV55W,EXCAVADORA1568,14FZ
19,868574042404728,Queclink GV55W,CATERPILLAR 5317,14G0
20,359369090552759,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,VZI159,0KN3
21,868574042431994,Queclink GV55W,NUS173,02WO
22,352556102757825,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,GUQ537,0TWW
23,868574042889522,Queclink GV55W,LWP330,0U29
24,352556102035313,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,GKP900,0UAM
25,352556102512196,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,GKP899,0UAR
26,352556102027054,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,EON630,0UBC
27,352556102175085,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,GKP904,0UBR
28,868574042734603,Queclink GV55W,GKP901,0UUY
29,352556102948077,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,KNX402,0UV4
30,352556102903031,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,GKP902,0UV8
31,352556102804650,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,EON629,0UV9
32,352556102758906,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,EON628,0UWR
33,352556102056228,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,EFN063,0VIX
34,352556102051799,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,EGZ998,0VIY
35,357041060764944,"CalAmp 2630 - HSPA -LMU26H3001-G1000

 Accum",LPZ483,0W0T
36,357041060769661,CalAmp 2631 - Gemalto HSPA - LMU2631H-H000-GTC01,KYW602,0W12
37,868574042019781,Queclink GV55W,KZR518,0WAB
38,868574041988259,Queclink GV55W,GEN - ECL825,0WAT
39,868574041321469,Queclink GV55W,GEN - ECL823,0WFO
40,868574041310645,Queclink GV55W,GEN - ECL824,0WFY
41,868574041227161,Queclink GV55W,SHE - ECL726,0WGX
42,868574041322483,Queclink GV55W,GEN - ECL826,0WHI
43,868574041313375,Queclink GV55W,SHE - ECL503A,0WHP
44,868574041322731,Queclink GV55W,SHE - ECL503C,0WHT
45,868574041316121,Queclink GV55W,SHE - ECL503D,0WIC
46,868574041334371,Queclink GV55W,SHE - ECL725,0WIG
47,868574041328860,Queclink GV55W,SHE - ECL388,0WIK
48,868574041328142,Queclink GV55W,SHE - ECL503B,0WIO
49,868574041310132,Queclink GV55W,SHE - ECL503,0WIR
50,868574041333639,Queclink GV55W,GEN - ECL827,0WJ6
51,868574041309464,Queclink GV55W,GEN - G21003849,0WJJ
52,868574041325288,Queclink GV55W,SHE - ECL724,0WJN
53,868574042397740,Queclink GV55W,ELR115,0XID
54,868574042406608,Queclink GV55W,KWO994,0XLS
55,868574042718655,Queclink GV55W,LUX783,12L7
56,868574042899133,Queclink GV55W,NXP569,14NC
57,868574042931647,Queclink GV55W,LJZ088,15GB
58,868574042741335,Queclink GV55W,SY0079CD36518,0ZCL
59,868574042867650,Queclink GV55W,NBZ429,14PF
60,868574042921036,Queclink GV55W,JHL187,14PG
61,359369090616182,CalAmp 4232 - 3G - LMU4232H-RH00-G1000,SY036RCC66858,0TCB
62,868574042747027,Queclink GV55W,KVD620,0ZAB
63,868574042727193,Queclink GV55W,SY0079CD36528,0ZD1
64,868574042748017,Queclink GV55W,SY0079CD36558,0ZD8
65,357852031434817,GenX Super 5,U800,U800
66,868574042021100,Queclink GL 300W,VT A990 2,0WAJ
67,868574042924485,Queclink GV55W,FSM253,15FR
68,868574042429477,Queclink GV55W,VT A990 1,905D
69,359369090063955,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,JJL831,0Q2D
70,868574042661863,Queclink GV55W,MF298,0Z8J
71,868574042015474,Queclink GV55W,GNF204,0A8D
72,868574042701735,Queclink GV55W, MHV794,12OU
73,868574042735410,Queclink GV55W,M.A 020130,12P7
74,868574042784889,Queclink GV55W,SY021CEN537S8,12PZ
75,868574042751375,Queclink GV55W,SY013CCD18708,0ZCW
76,868574042709365,Queclink GV55W,SY007CEQ698K8,12P2
77,868574042449285,Queclink GV55W,JRN019,0E93
